filename,Sample ID,Strain_number,Strain_Description ,Nd_type,KAN,IPTG,Final_OD_5pm_05042026,Sample_type,Alternate_name
1_80.mzML,1,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.4,4135_OE_PA1,_-mllF/+PA1_AsbF
2_80.mzML,2,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.25,4135_OE_PA1,_-mllF/+PA1_AsbF
3_80.mzML,3,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.24,4135_OE_PA1,_-mllF/+PA1_AsbF
4_80.mzML,4,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.42,4135_OE_PA1,_-mllF/+PA1_AsbF
5_80.mzML,5,1935,AM1_mxaF_4135,CL,NA,NA,0.4,4135,_-mllF
6_80.mzML,6,1935,AM1_mxaF_4135,CL,NA,NA,0.86,4135,_-mllF
7_80.mzML,7,1935,AM1_mxaF_4135,CL,NA,NA,0.41,4135,_-mllF
8_80.mzML,8,1935,AM1_mxaF_4135,CL,NA,NA,0.83,4135,_-mllF
9_80.mzML,9,1949,AM1_mxaF_4136,CL,NA,NA,1.2,4136,_-mllG
10_80.mzML,10,1949,AM1_mxaF_4136,CL,NA,NA,0.89,4136,_-mllG
11_80.mzML,11,1949,AM1_mxaF_4136,CL,NA,NA,1,4136,_-mllG
12_80.mzML,12,1949,AM1_mxaF_4136,CL,NA,NA,1.34,4136,_-mllG
13_80.mzML,13,1949,AM1_mxaF_4136,OX,NA,NA,1.52,4136,_-mllG
14_80.mzML,14,1949,AM1_mxaF_4136,OX,NA,NA,1.09,4136,_-mllG
15_80.mzML,15,1949,AM1_mxaF_4136,OX,NA,NA,1.27,4136,_-mllG
16_80.mzML,16,1949,AM1_mxaF_4136,OX,NA,NA,1.11,4136,_-mllG
17_80.mzML,17,2266,AM1_mxaF_4138,CL,NA,NA,1.28,4138,_-mllJ
18_80.mzML,18,2266,AM1_mxaF_4138,CL,NA,NA,0.61,4138,_-mllJ
19_80.mzML,19,2266,AM1_mxaF_4138,CL,NA,NA,0.52,4138,_-mllJ
20_80.mzML,20,2266,AM1_mxaF_4138,CL,NA,NA,0.62,4138,_-mllJ
21_80.mzML,21,2266,AM1_mxaF_4138,OX,NA,NA,1,4138,_-mllJ
22_80.mzML,22,2266,AM1_mxaF_4138,OX,NA,NA,0.53,4138,_-mllJ
23_80.mzML,23,2266,AM1_mxaF_4138,OX,NA,NA,1.13,4138,_-mllJ
24_80.mzML,24,2266,AM1_mxaF_4138,OX,NA,NA,1.21,4138,_-mllJ
25_80.mzML,25,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.05,4136_2877,_-mllG/-AsbF_like_2877
26_80.mzML,26,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.05,4136_2877,_-mllG/-AsbF_like_2877
27_80.mzML,27,2261,AM1_mxaF_4136_2877,OX,NA,NA,1,4136_2877,_-mllG/-AsbF_like_2877
28_80.mzML,28,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.22,4136_2877,_-mllG/-AsbF_like_2877
29_80.mzML,29,2260,AM1_mxaF_2877,OX,NA,NA,1.01,2877,_-AsbF_like_2877
30_80.mzML,30,2260,AM1_mxaF_2877,OX,NA,NA,0.84,2877,_-AsbF_like_2877
31_80.mzML,31,2260,AM1_mxaF_2877,OX,NA,NA,0.97,2877,_-AsbF_like_2877
32_80.mzML,32,2260,AM1_mxaF_2877,OX,NA,NA,0.98,2877,_-AsbF_like_2877
33_80.mzML,33,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.39,4135_OE_PA1_IPTG,_-mllF/+PA1_AsbF_IPTG
34_80.mzML,34,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.36,4135_OE_PA1_IPTG,_-mllF/+PA1_AsbF_IPTG
35_80.mzML,35,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.41,4135_OE_PA1_IPTG,_-mllF/+PA1_AsbF_IPTG
36_80.mzML,36,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.37,4135_OE_PA1_IPTG,_-mllF/+PA1_AsbF_IPTG
Ext_blk_1_80.mzML,0,NA,NA,None,NA,NA,0,Ext_blk,Ext_blk
Ext_blk_2_80.mzML,0,NA,NA,None,NA,NA,0,Ext_blk,Ext_blk
Media_blank_37_80.mzML,0,NA,NA,None,NA,NA,0,Media_blk,Media_blk
