filename,Sample ID,Strain_number,Strain_Description ,Nd_type,KAN,IPTG,Final_OD_5pm_05042026
1_80.mzML Peak area,1,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.4
2_80.mzML Peak area,2,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.25
3_80.mzML Peak area,3,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.24
4_80.mzML Peak area,4,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,NO,0.42
5_80.mzML Peak area,5,1935,AM1_mxaF_4135,CL,NA,NA,0.4
6_80.mzML Peak area,6,1935,AM1_mxaF_4135,CL,NA,NA,0.86
7_80.mzML Peak area,7,1935,AM1_mxaF_4135,CL,NA,NA,0.41
8_80.mzML Peak area,8,1935,AM1_mxaF_4135,CL,NA,NA,0.83
9_80.mzML Peak area,9,1949,AM1_mxaF_4136,CL,NA,NA,1.2
10_80.mzML Peak area,10,1949,AM1_mxaF_4136,CL,NA,NA,0.89
11_80.mzML Peak area,11,1949,AM1_mxaF_4136,CL,NA,NA,1
12_80.mzML Peak area,12,1949,AM1_mxaF_4136,CL,NA,NA,1.34
13_80.mzML Peak area,13,1949,AM1_mxaF_4136,OX,NA,NA,1.52
14_80.mzML Peak area,14,1949,AM1_mxaF_4136,OX,NA,NA,1.09
15_80.mzML Peak area,15,1949,AM1_mxaF_4136,OX,NA,NA,1.27
16_80.mzML Peak area,16,1949,AM1_mxaF_4136,OX,NA,NA,1.11
17_80.mzML Peak area,17,2266,AM1_mxaF_4138,CL,NA,NA,1.28
18_80.mzML Peak area,18,2266,AM1_mxaF_4138,CL,NA,NA,0.61
19_80.mzML Peak area,19,2266,AM1_mxaF_4138,CL,NA,NA,0.52
20_80.mzML Peak area,20,2266,AM1_mxaF_4138,CL,NA,NA,0.62
21_80.mzML Peak area,21,2266,AM1_mxaF_4138,OX,NA,NA,1
22_80.mzML Peak area,22,2266,AM1_mxaF_4138,OX,NA,NA,0.53
23_80.mzML Peak area,23,2266,AM1_mxaF_4138,OX,NA,NA,1.13
24_80.mzML Peak area,24,2266,AM1_mxaF_4138,OX,NA,NA,1.21
25_80.mzML Peak area,25,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.05
26_80.mzML Peak area,26,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.05
27_80.mzML Peak area,27,2261,AM1_mxaF_4136_2877,OX,NA,NA,1
28_80.mzML Peak area,28,2261,AM1_mxaF_4136_2877,OX,NA,NA,1.22
29_80.mzML Peak area,29,2260,AM1_mxaF_2877,OX,NA,NA,1.01
30_80.mzML Peak area,30,2260,AM1_mxaF_2877,OX,NA,NA,0.84
31_80.mzML Peak area,31,2260,AM1_mxaF_2877,OX,NA,NA,0.97
32_80.mzML Peak area,32,2260,AM1_mxaF_2877,OX,NA,NA,0.98
33_80.mzML Peak area,33,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.39
34_80.mzML Peak area,34,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.36
35_80.mzML Peak area,35,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.41
36_80.mzML Peak area,36,2256,AM1__mxaF_4135_OX_PA1_4135,CL,YES,YES,0.37
Ext_blk_1_80.mzML Peak area,0,NA,NA,NA,NA,NA,0
Ext_blk_2_80.mzML Peak area,0,NA,NA,NA,NA,NA,0
Media_blank_37_80.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank14.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_1.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_10.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_11.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_12.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_13.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_15.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_16.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_17.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_18.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_2.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_3.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_4.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_5.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_6.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_7.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_8.mzML Peak area,0,NA,NA,NA,NA,NA,0
blank_9.mzML Peak area,0,NA,NA,NA,NA,NA,0
